day,room_code,staff_count,shift_hours
MON,BAKERY,3,8
MON,BROTH,2,8
MON,SAUCE,2,8
MON,MEAT,3,8
MON,COLD,2,8
TUE,BAKERY,3,8
TUE,BROTH,2,8
TUE,SAUCE,2,8
TUE,MEAT,3,8
TUE,COLD,2,8
WED,BAKERY,3,8
WED,BROTH,2,8
WED,SAUCE,2,8
WED,MEAT,3,8
WED,COLD,2,8
THU,BAKERY,3,8
THU,BROTH,2,8
THU,SAUCE,2,8
THU,MEAT,3,8
THU,COLD,2,8
FRI,BAKERY,3,8
FRI,BROTH,2,8
FRI,SAUCE,2,8
FRI,MEAT,3,8
FRI,COLD,2,8
SAT,BAKERY,2,6
SAT,BROTH,1,6
SAT,SAUCE,1,6
SAT,MEAT,2,6
SAT,COLD,1,6
SUN,BAKERY,2,6
SUN,BROTH,1,6
SUN,SAUCE,1,6
SUN,MEAT,2,6
SUN,COLD,1,6
